campaign_channel_id,category,type,budget,spend,campaign_id
10041WE1MTYYN,Web,Microsites,200.00,188.00,10041
10042WE6OJJMD,Web,Microsites,200.00,252.00,10042
10071WE1DVWRX,Web,Microsites,200.00,232.00,10071
10007AD3ILEYQ,Advertising,In-game,140.00,92.40,10007
10023AD7JGVJD,Advertising,"LinkedIn Ad",100.00,87.00,10023
10065AD4SZTTD,Advertising,"Paid Review",120.00,106.80,10065
10059AD1CATLA,Advertising,"YouTube Pre-roll",190.00,220.40,10059
10042CO3GSSJO,Content,Infographics,290.00,301.60,10042
10025CO3KFNLO,Content,Presentation,400.00,432.00,10025
10034CO0GUDCH,Content,Presentation,400.00,476.00,10034
10067CO7OEEWY,Content,"Report Sponsorship",360.00,223.20,10067
10075CO5KXQMG,Content,"Research Paper",590.00,607.70,10075
10056CO2JXRWV,Content,Video,1170.00,982.80,10056
10061CO4NNELH,Content,Video,1170.00,1567.80,10061
10073EM6ZCZFJ,Email,"Email Signature",190.00,228.00,10073
10064IN6MRKGD,In-Store,Kiosk,400.00,376.00,10064
10001IN4NQSPX,In-Store,Signage,320.00,400.00,10001
10042PR5FYEPO,PR,"Press Release",470.00,437.10,10042
10071PR6TLFJL,PR,"Public Relations",630.00,863.10,10071
10006SE3PTPUV,Search,PPC,690.00,496.80,10006
10042SE4WFONI,Search,PPC,690.00,655.50,10042
10011SE4QSXQZ,Search,SEO,230.00,223.10,10011
10011SE6VRXUF,Search,SEO,230.00,241.50,10011
10015SE3NNNTK,Search,SEO,230.00,174.80,10015
10071SE5CJATT,Search,SEO,230.00,230.00,10071
10049SO3UNSTI,Social,Blog,70.00,50.40,10049
10071SO5QSNVJ,Social,"Facebook Page",230.00,257.60,10071
10072SO7XCJAA,Social,"Facebook Page",230.00,273.70,10072
10074SO3QCYDA,Social,Forum,390.00,409.50,10074
10003SO3XNYND,Social,"Influencer outreach",210.00,199.50,10003
10050SO3KHFWC,Social,"LinkedIn Post",140.00,159.60,10050
10065SO8UBQBX,Social,"LinkedIn Post",140.00,106.40,10065
10036SO4YAPTO,Social,Twitter,80.00,74.40,10036
10046SO9ZVRGE,Social,Twitter,80.00,80.00,10046
10016SO5LOWZD,Social,"Twitter account",180.00,241.20,10016
10024SO9UXFRH,Social,"Twitter account",180.00,237.60,10024
10030SO8EMVOY,Social,"Twitter account",180.00,201.60,10030
10045SO9KKNAM,Social,"Youtube channel",80.00,74.40,10045
10041WE1YMWLG,Web,"Ebay Store",950.00,836.00,10041
10068WE2JGVUL,Web,"Ebay Store",950.00,1045.00,10068
10071WE9LMYXH,Web,Microsites,200.00,230.00,10071
10010AD0BNBFV,Advertising,Aggregator,70.00,60.20,10010
10019AD6OSFIN,Advertising,"Magazine Ad",430.00,408.50,10019
10057AD0RUAWX,Advertising,"Mobile Ad",80.00,82.40,10057
10003AD2KPVTQ,Advertising,"Receipt Code",240.00,196.80,10003
10006AD4OPLZH,Advertising,"YouTube Pre-roll",190.00,134.90,10006
10076CO0LZXQM,Content,"Content marketing",280.00,156.80,10076
10017CO2UUYJB,Content,"Report Sponsorship",360.00,388.80,10017
10049CO5VPWSC,Content,"Research Paper",590.00,631.30,10049
10050CO3GNMXW,Content,"Research Paper",590.00,578.20,10050
10030DI3QYRMW,Direct,"Alliance Marketing",950.00,988.00,10030
10065DI6ABSRW,Direct,Catalogue,2470.00,2618.20,10065
10005DI7MWSCD,Direct,"Postal Mail",480.00,427.20,10014
10017DI3MHKXX,Direct,"Postal Mail",480.00,379.20,10017
10023DI7RQAEW,Direct,"Postal Mail",480.00,393.60,10023
10061DI3BLENE,Direct,"Postal Mail",480.00,388.80,10061
10071EM7YQLYT,Email,"Email Blast",280.00,179.20,10071
10071IN6FWHDZ,In-Store,"POS displays",520.00,566.80,10071
10071IN0TFHJO,In-Store,Signage,320.00,387.20,10071
10073IN7HXYYX,In-Store,Signage,320.00,208.00,10073
10071MO5ZFZNJ,Mobile,SMS,390.00,347.10,10071
10016PR2VTXWV,PR,"Press Release",470.00,413.60,10016
10032SE0TNUMT,Search,SEO,230.00,181.70,10032
10045SE1JPRCN,Search,SEO,230.00,204.70,10045
10015SO5MLNXI,Social,Blog,70.00,58.10,10015
10071SO5SJFGK,Social,Blog,70.00,76.30,10071
10021SO3ZZQOU,Social,"Facebook Page",230.00,227.70,10021
10006SO2JINWT,Social,"Facebook Post",70.00,74.20,10006
10016SO3XYLBF,Social,"Influencer outreach",210.00,180.60,10016
10052SO3LOBMG,Social,"Influencer outreach",210.00,207.90,10052
10025SO1BTEFX,Social,"LinkedIn Group",140.00,116.20,10025
10049SO3NHSNI,Social,"LinkedIn Post",140.00,162.40,10049
10037SO7IUDVU,Social,Twitter,80.00,104.00,10037
10071SO5BEOFI,Social,Twitter,80.00,86.40,10071
10077SO7DEHXQ,Social,"Twitter account",180.00,160.20,10077
